Pre-Mold Training Data,,,,,,
Piece,Expired,Temperature (C),Gas (Ohms),Humidity (%),Pressure (hPa),Voltage
1,0,25.43,21368.94825,43.174,980.48,1.5899999999
1,0,25.61,19894.31147,43.022,980.48,1.4600000000
1,0,25.62,16926.73896,43.527,980.48,1.7000000000
1,0,25.64,16520.39236,44.612,980.48,1.5500000001
1,0,25.65,17089.4526,45.148,980.47,1.8100000000
1,0,25.71,17199.67751,47.235,980.48,1.7499999999
1,0,25.73,17997.75028,47.659,980.5,1.6000000000
1,0,25.74,18385.5214,48.025,980.52,1.8400000000
1,0,25.75,18577.64877,48.342,980.49,1.7700000000
1,0,25.76,18545.34917,48.67,980.5,1.8199999999
1,0,25.78,17907.10688,48.938,980.5,1.7400000000
1,0,25.79,18166.33551,49.219,980.48,1.7600000001
1,0,25.83,13663.53544,51.546,980.48,1.8300000001
1,0,25.84,14489.47249,52.229,980.52,1.7299999999
1,0,25.85,15105.02714,52.387,980.5,1.8400000000
2,0,25.85,20466.90118,45.488,980.5,1.7800000001
2,0,25.85,21136.06341,44.36,980.49,1.7700000000
2,0,25.85,17772.84088,43.83,980.5,1.7100000001
2,0,25.87,13840.83045,48.223,980.5,1.8199999999
2,0,25.87,12794.88205,49.575,980.52,1.8600000000
2,0,25.89,9975.062344,55.088,980.49,1.7900000000
2,0,25.9,9782.940997,56.189,980.52,1.4500000001
2,0,25.9,10050.25126,57.124,980.51,1.7400000000
2,0,25.91,10495.24434,57.74,980.51,1.7499999999
2,0,25.91,10891.7631,58.038,980.5,1.7900000000
2,0,25.92,11061.18216,58.239,980.52,2.1700000000
2,0,25.92,11095.70042,58.526,980.52,1.7200000000
2,0,25.94,10858.50017,59.129,980.53,1.7600000001
2,0,25.94,10759.9193,59.479,980.52,1.7600000001
2,0,25.96,12023.29513,59.931,980.52,1.7000000000
3,0,25.44,64144.32473,31.647,980.45,1.4400000000
3,0,25.44,17185.8217,30.421,980.44,1.4400000000
3,0,25.45,17567.93851,30.425,980.44,1.2300000000
3,0,25.45,16218.9559,31.662,980.43,1.3200000000
3,0,25.46,14276.15436,33.548,980.45,1.1800000000
3,0,25.46,13021.36317,35.878,980.46,1.3299999999
3,0,25.46,12350.44384,38.22,980.46,1.1800000000
3,0,25.45,12043.65826,40.212,980.44,1.2400000001
3,0,25.45,11996.25117,41.844,980.45,1.4400000000
3,0,25.44,11976.0479,43.191,980.46,1.2000000000
3,0,25.44,12016.52272,44.286,980.48,0.7200000001
3,0,25.43,12043.65826,45.238,980.46,1.4400000000
3,0,25.42,12098.29868,46.05,980.47,1.1500000001
3,0,25.42,12057.27204,46.786,980.43,1.2000000000
3,0,25.41,12023.29513,47.433,980.44,1.1600000000
4,0,25.8,40816.32653,30.473,980.48,1.3100000001
4,0,25.8,12216.07177,29.933,980.48,1.4400000000
4,0,25.8,16662.32752,29.46,980.49,1.3100000001
4,0,25.8,20043.84591,29.08,980.5,1.4400000000
4,0,25.79,22590.89305,28.857,980.48,1.2400000001
4,0,25.78,24830.26188,28.857,980.49,1.3499999999
4,0,25.77,25019.54652,28.924,980.49,1.4400000000
4,0,25.74,26981.45025,28.878,980.5,1.4400000000
4,0,25.71,27898.86661,28.65,980.48,1.4400000000
4,0,25.68,30338.94288,28.46,980.48,1.4100000000
4,0,25.66,32413.26918,28.118,980.48,1.4400000000
4,0,25.63,35605.00695,27.766,980.47,1.4400000000
4,0,25.6,35605.00695,27.406,980.48,1.3800000001
4,0,25.57,35427.62247,27.144,980.48,1.4400000000
4,0,25.54,33376.7927,27.104,980.47,1.4400000000
5,0,25.09,52341.03455,46.061,980.48,1.4400000000
5,0,25.12,9702.850212,46.876,980.48,1.4400000000
5,0,25.16,12174.24387,46.5,980.51,1.6200000001
5,0,25.21,12064.09048,45.704,980.5,1.5000000001
5,0,25.25,14124.91724,45.195,980.5,1.5300000000
5,0,25.28,16120.9068,44.133,980.53,1.4900000000
5,0,25.32,17539.0518,43.226,980.51,1.4400000000
5,0,25.35,18417.26619,42.743,980.51,1.4600000000
5,0,25.38,19127.3162,42.548,980.49,1.4500000001
5,0,25.4,19144.48101,42.573,980.5,1.3600000001
5,0,25.43,18181.81818,43.003,980.52,1.4400000000
5,0,25.45,16780.28317,43.781,980.51,1.4500000001
5,0,25.48,15533.98058,44.68,980.53,1.4400000000
5,0,25.51,14324.08236,45.671,980.51,1.4300000001
5,0,25.54,13256.00663,46.699,980.5,1.3999999999
6,0,24.93,57296.32945,32.332,980.5,1.4400000000
6,0,24.94,17625.99835,31.49,980.5,1.4400000000
6,0,24.97,21895.31303,31.031,980.49,1.4400000000
6,0,25.01,26462.68348,30.712,980.52,1.4400000000
6,0,25.05,29622.77251,30.458,980.52,1.6799999999
6,0,25.08,31785.44822,30.224,980.51,1.6300000000
6,0,25.12,35754.18994,29.88,980.49,1.7999999999
6,0,25.15,38635.67763,29.168,980.51,1.8100000000
6,0,25.18,38776.12845,28.536,980.52,1.7499999999
6,0,25.21,35281.14664,28.312,980.51,1.7000000000
6,0,25.23,38988.72982,28.191,980.51,1.6900000001
6,0,25.24,38496.2406,27.804,980.52,1.7700000000
6,0,25.26,31318.81576,27.678,980.5,1.8400000000
6,0,25.27,28998.64069,28.429,980.51,1.8300000001
6,0,25.27,35754.18994,28.674,980.51,1.8100000000
7,0,25.07,33613.44538,44.605,980.48,1.4400000000
7,0,25.07,8776.741635,45.208,980.48,1.4400000000
7,0,25.09,10641.83572,45.752,980.48,1.3100000001
7,0,25.1,12036.86289,45.848,980.48,0.9000000000
7,0,25.12,11404.134,46.444,980.48,1.2799999999
7,0,25.13,11004.12655,47.736,980.48,1.3100000001
7,0,25.14,10858.50017,49.206,980.52,1.3900000000
7,0,25.15,11004.12655,50.565,980.5,1.2799999999
7,0,25.16,11319.41988,51.562,980.52,1.3400000000
7,0,25.17,11989.50918,52.14,980.51,1.3400000000
7,0,25.18,12568.73527,52.334,980.52,1.2799999999
7,0,25.19,13247.77479,52.156,980.52,1.3499999999
7,0,25.2,13849.81606,51.843,980.54,1.4600000000
7,0,25.21,14228.54602,51.504,980.52,1.4400000000
7,0,25.21,14719.41122,51.099,980.51,1.3000000000
8,0,25.17,41170.79447,49.896,980.52,1.4400000000
8,0,25.18,12643.22402,49.931,980.52,1.3999999999
8,0,25.19,13533.5166,49.895,980.53,1.3499999999
8,0,25.2,13141.68378,49.877,980.54,1.2000000000
8,0,25.22,14382.02247,49.456,980.52,1.3700000000
8,0,25.23,16024.03605,48.678,980.54,1.3100000001
8,0,25.23,16940.17999,47.725,980.52,1.3700000000
8,0,25.24,16533.19556,46.98,980.54,1.3200000000
8,0,25.24,17495.8994,46.089,980.54,1.3499999999
8,0,25.24,18135.44914,44.942,980.53,1.3900000000
8,0,25.24,19370.46005,44.038,980.53,1.4100000000
8,0,25.24,19196.16077,43.356,980.54,1.3499999999
8,0,25.24,17967.43403,43.32,980.51,1.3700000000
8,0,25.23,17227.45626,43.761,980.52,1.3100000001
8,0,25.23,17381.85769,44.326,980.53,1.4800000001
9,0,23.73,38357.80641,48.396,980.43,1.3700000000
9,0,23.74,8613.728129,47.132,980.46,1.4400000000
9,0,23.77,10695.18717,46.924,980.44,1.4400000000
9,0,23.8,10759.9193,46.748,980.45,1.4400000000
9,0,23.81,10223.64217,48.968,980.44,1.3400000000
9,0,23.84,10578.5124,50.446,980.43,1.4400000000
9,0,23.88,10992.78598,51.732,980.47,1.4500000001
9,0,23.91,12160.36481,52.64,980.45,1.4400000000
9,0,23.94,10568.0317,53.147,980.46,1.2500000000
9,0,23.97,9615.384615,54.498,980.47,1.1300000000
9,0,24.01,9232.54472,56.103,980.46,1.1899999999
9,0,24.04,9114.212475,57.647,980.49,1.1399999999
9,0,24.07,9075.439592,58.959,980.49,1.1800000000
9,0,24.1,9114.212475,60.025,980.48,1.2200000001
9,0,24.13,9114.212475,60.877,980.49,1.4400000000
10,0,24.19,27972.02797,57.593,980.53,1.2000000000
10,0,24.19,9362.200117,57.094,980.54,1.4400000000
10,0,24.21,9256.58085,57.189,980.54,1.4400000000
10,0,24.23,9445.100354,57.672,980.53,1.4400000000
10,0,24.25,9919.404836,57.789,980.54,1.4400000000
10,0,24.27,10474.63175,57.723,980.54,1.4400000000
10,0,24.29,10981.46877,57.522,980.57,1.1399999999
10,0,24.3,11177.08697,57.395,980.55,1.1600000000
10,0,24.31,11319.41988,57.258,980.56,1.2599999999
10,0,24.33,11283.49788,57.125,980.53,1.0199999999
10,0,24.34,11107.25443,57.155,980.55,1.0400000000
10,0,24.35,10880.65284,57.4,980.53,1.3600000001
10,0,24.36,10738.25503,57.747,980.54,1.2599999999
10,0,24.36,10936.43199,57.943,980.53,1.2200000001
10,0,24.37,11355.57133,57.651,980.54,1.3800000001
11,0,25.1,34820.45702,42.831,980.52,1.7000000000
11,0,25.12,8128.016256,45.688,980.5,1.6200000001
11,0,25.14,11367.67318,46.904,980.49,1.1700000001
11,0,25.16,12407.91004,46.602,980.51,1.2599999999
11,0,25.18,15545.29998,46.222,980.51,1.3000000000
11,0,25.2,14749.94238,45.325,980.51,1.4400000000
11,0,25.21,14134.27562,45.561,980.52,1.4100000000
11,0,25.22,15083.66722,45.674,980.51,1.2700000000
11,0,25.22,16096.57948,45.456,980.53,1.4400000000
11,0,25.22,15928.32255,45.021,980.53,1.2599999999
11,0,25.22,15717.09234,44.796,980.53,1.2599999999
11,0,25.22,15602.14529,45.07,980.51,1.0800000000
11,0,25.21,15810.27668,45.592,980.53,1.3600000001
11,0,25.2,15869.08009,45.567,980.54,1.2799999999
11,0,25.19,16793.49252,45.651,980.53,1.4400000000
12,0,24.89,49145.70935,41.832,980.49,1.4400000000
12,0,24.89,18166.33551,40.34,980.5,1.3400000000
12,0,24.89,18790.36994,39.535,980.49,1.2700000000
12,0,24.9,16584.60741,40.253,980.49,1.3000000000
12,0,24.9,14935.82264,42.036,980.49,1.4400000000
12,0,24.89,14821.6767,44.103,980.51,1.2799999999
12,0,24.88,15180.26565,45.812,980.53,1.4400000000
12,0,24.87,16108.73395,47.024,980.52,1.1899999999
12,0,24.85,18417.26619,47.563,980.52,1.1899999999
12,0,24.84,18740.84919,46.595,980.49,1.3299999999
12,0,24.82,16406.04973,46.424,980.49,1.4699999999
12,0,24.8,14247.5512,47.04,980.49,1.2000000000
12,0,24.78,14770.36695,48.013,980.5,1.2900000001
12,0,24.75,19820.37783,47.633,980.51,1.3100000001
12,0,24.73,22906.22763,45.449,980.52,1.3000000000
13,0,24.19,55652.17391,35.363,980.48,1.4400000000
13,0,24.19,14440.43321,38.915,980.49,1.4400000000
13,0,24.21,15880.8933,41.276,980.49,1.4400000000
13,0,24.23,15602.14529,43.022,980.48,1.2400000001
13,0,24.24,15201.90024,44.731,980.48,1.1500000001
13,0,24.26,13867.82232,46.366,980.48,1.2200000001
13,0,24.27,12605.86961,48.247,980.49,1.3000000000
13,0,24.28,13280.76364,49.791,980.48,1.1200000001
13,0,24.28,18840.15308,49.525,980.48,1.4400000000
13,0,24.29,21262.45847,47.369,980.48,1.4400000000
13,0,24.29,18840.15308,46.281,980.52,1.6400000001
13,0,24.29,15556.63588,46.537,980.51,1.3299999999
13,0,24.29,13077.23743,47.94,980.52,1.4400000000
13,0,24.29,11969.3286,49.933,980.52,1.4699999999
13,0,24.29,11235.95506,52.051,980.52,1.3400000000
14,0,24.14,32661.39321,56.548,980.52,1.4400000000
14,0,24.14,14324.08236,54.772,980.51,1.4400000000
14,0,24.14,15545.29998,52.142,980.49,1.4400000000
14,0,24.15,14977.76738,51.125,980.54,1.4400000000
14,0,24.16,15073.00989,50.749,980.53,1.1600000000
14,0,24.16,16886.54354,50.225,980.53,1.4400000000
14,0,24.16,18385.5214,49.131,980.53,1.4400000000
14,0,24.16,20506.248,47.562,980.52,1.1899999999
14,0,24.15,21433.35566,46.039,980.53,1.3800000001
14,0,24.15,21895.31303,44.93,980.53,1.4400000000
14,0,24.15,21940.34967,44.092,980.49,1.4400000000
14,0,24.14,22448.26377,43.437,980.49,1.3000000000
14,0,24.14,23054.75504,42.729,980.49,1.4400000000
14,0,24.14,22662.88952,42.141,980.49,1.2900000001
14,0,24.13,23516.44314,41.941,980.49,1.3600000001
15,0,23.92,66701.40698,37.402,980.48,1.4400000000
15,0,23.92,16873.18745,38.639,980.47,3.3800000001
15,0,23.95,15533.98058,39.573,980.46,1.4800000001
15,0,23.97,13231.34174,41.883,980.48,1.4400000000
15,0,24,12802.56051,44.508,980.46,1.4500000001
15,0,24.04,12688.34259,46.459,980.5,1.4400000000
15,0,24.07,12643.22402,47.848,980.48,1.3400000000
15,0,24.09,12502.44188,48.839,980.5,1.4400000000
15,0,24.12,12546.5595,49.557,980.48,1.4400000000
15,0,24.14,12422.36025,50.022,980.48,1.4400000000
15,0,24.17,12718.60095,50.407,980.52,1.4500000001
15,0,24.19,13813.94345,50.606,980.51,1.4400000000
15,0,24.21,15410.54659,50.108,980.5,1.4400000000
15,0,24.23,19968.79875,49.263,980.49,1.4400000000
15,0,24.25,21872.86398,46.916,980.49,1.4400000000
16,0,24.37,51057.04029,48.806,980.49,1.3600000001
16,0,24.38,17269.29304,47.075,980.48,1.4400000000
16,0,24.4,22330.7746,44.755,980.48,1.4400000000
16,0,24.43,23516.44314,42.656,980.5,1.4400000000
16,0,24.45,25666.73351,41.339,980.5,1.3400000000
16,0,24.48,24100.92261,40.708,980.49,1.3400000000
16,0,24.5,25697.65107,40.634,980.48,1.2099999999
16,0,24.52,29117.37944,40.4,980.48,1.3200000000
16,0,24.53,29871.64527,39.991,980.48,1.3200000000
16,0,24.55,27538.72633,39.951,980.48,1.3100000001
16,0,24.56,25790.85231,40.247,980.47,1.3200000000
16,0,24.57,27735.64464,40.448,980.5,1.2099999999
16,0,24.58,30490.70986,40.06,980.49,1.3999999999
16,0,24.58,31738.16018,39.463,980.48,1.3800000001
16,0,24.59,30403.80048,39.194,980.48,1.4400000000
17,0,24.03,70855.24495,33.99,980.45,1.4400000000
17,0,24.04,14801.11008,36.591,980.43,1.4400000000
17,0,24.07,17892.08834,38.12,980.44,1.3999999999
17,0,24.1,23686.1584,38.181,980.42,1.2700000000
17,0,24.13,28841.82064,36.867,980.41,0.8799999999
17,0,24.15,29177.1142,35.577,980.44,1.4400000000
17,0,24.18,20506.248,35.324,980.42,1.3200000000
17,0,24.2,16597.51037,36.97,980.42,1.3400000000
17,0,24.23,16833.24566,38.705,980.4,1.2500000000
17,0,24.25,17625.99835,39.66,980.42,1.2300000000
17,0,24.27,18923.71378,40.231,980.41,1.2200000001
17,0,24.29,19282.91654,40.443,980.43,1.3900000000
17,0,24.31,19857.27583,40.773,980.4,1.6700000000
17,0,24.32,18890.20071,41.151,980.4,1.2799999999
17,0,24.34,17787.65981,41.869,980.41,1.2300000000
18,0,24.33,51364.36597,43.214,980.43,1.8300000001
18,0,24.34,16108.73395,43.709,980.42,1.3299999999
18,0,24.36,16169.78272,44.297,980.43,1.1300000000
18,0,24.38,18073.9904,44.631,980.43,1.2799999999
18,0,24.4,21761.30568,43.947,980.44,1.2200000001
18,0,24.41,24488.23417,42.751,980.43,1.5899999999
18,0,24.43,25837.7069,41.614,980.46,1.1700000001
18,0,24.44,25853.36296,40.826,980.44,1.2099999999
18,0,24.46,26283.36756,40.356,980.45,1.3400000000
18,0,24.47,25543.80363,40.048,980.47,1.2300000000
18,0,24.48,24155.50104,39.926,980.46,1.2900000001
18,0,24.49,19583.84333,40.605,980.47,1.2300000000
18,0,24.5,17283.28382,42.016,980.46,1.2599999999
18,0,24.51,16967.12619,43.29,980.48,1.2099999999
18,0,24.51,20887.72846,43.677,980.47,1.2099999999
19,0,24.3,66441.73371,33.499,980.41,0.0099999999
19,0,24.31,15602.14529,35.645,980.39,1.4400000000
19,0,24.33,21563.34232,36.739,980.41,1.4400000000
19,0,24.36,25620.4964,36.252,980.39,1.4500000001
19,0,24.39,29976.5808,35.517,980.39,1.2099999999
19,0,24.42,33481.55899,35.076,980.37,1.1500000001
19,0,24.45,34069.73649,34.419,980.42,1.4400000000
19,0,24.48,34454.91252,33.909,980.4,1.4400000000
19,0,24.51,27990.37831,33.74,980.41,1.4400000000
19,0,24.53,19931.48552,35.088,980.41,1.4400000000
19,0,24.54,17311.33351,37.43,980.39,1.3100000001
19,0,24.56,17847.18349,39.014,980.39,1.2500000000
19,0,24.57,18856.80613,39.736,980.43,1.4300000001
19,0,24.58,19765.28721,40.198,980.41,1.2200000001
19,0,24.59,21828.10368,40.624,980.43,1.4199999999
20,0,24.51,59911.06951,40.708,980.46,1.4400000000
20,0,24.51,17684.44322,41.488,980.44,1.4400000000
20,0,24.53,23979.01836,40.694,980.44,1.4400000000
20,0,24.54,26862.53935,39.095,980.42,1.4400000000
20,0,24.56,30688.08439,37.723,980.43,1.8800000001
20,0,24.58,30710.17274,36.587,980.44,1.4400000000
20,0,24.6,35106.96654,36.147,980.43,1.4600000000
20,0,24.63,35965.15875,35.601,980.45,1.4400000000
20,0,24.65,40353.08953,35.118,980.43,1.4400000000
20,0,24.67,44943.82022,34.173,980.42,1.3700000000
20,0,24.69,47904.19162,33.144,980.42,1.4400000000
20,0,24.71,49316.12406,32.224,980.45,1.4400000000
20,0,24.72,49032.75235,31.425,980.45,1.4400000000
20,0,24.74,41898.527,30.966,980.42,1.4400000000
20,0,24.75,44568.24513,30.852,980.43,1.4400000000
21,0,26.7,53792.81362,42.892,980.47,0.3500000000
21,0,26.69,12864.32161,43.227,980.48,1.1700000001
21,0,26.69,13053.23271,43.081,980.48,1.1500000001
21,0,26.69,12726.18811,43.416,980.49,1.2500000000
21,0,26.68,13157.89474,44.133,980.46,1.1000000001
21,0,26.67,13654.78984,44.695,980.45,1.2099999999
21,0,26.65,14988.2904,44.848,980.47,0.8500000000
21,0,26.63,16507.60898,44.229,980.45,1.0800000000
21,0,26.61,17130.62099,43.736,980.45,1.1100000000
21,0,26.58,16846.53856,43.642,980.47,1.1100000000
21,0,26.56,16953.64238,43.661,980.49,1.1700000001
21,0,26.53,17007.70662,43.622,980.47,1.1700000001
21,0,26.5,18104.66761,43.419,980.49,1.4300000001
21,0,26.47,20138.45186,42.598,980.48,1.1800000000
21,0,26.43,22424.66713,41.408,980.5,1.1800000000
22,0,26.12,76509.26479,37.004,980.48,1.4400000000
22,0,26.11,20253.16456,37.322,980.49,1.4400000000
22,0,26.11,17713.81124,38.236,980.5,1.4400000000
22,0,26.1,16753.9267,39.075,980.46,1.4400000000
22,0,26.09,15062.36762,40.247,980.48,1.1700000001
22,0,26.08,13422.81879,41.981,980.48,1.5199999999
22,0,26.06,13149.78426,44.035,980.48,1.0699999999
22,0,26.04,13611.22926,45.416,980.48,1.3100000001
22,0,26.02,13751.61152,46.278,980.49,1.6300000000
22,0,26,13698.63014,46.942,980.5,1.1100000000
22,0,25.98,13507.8092,47.531,980.52,1.1000000001
22,0,25.95,13585.22607,48.042,980.48,1.1200000001
22,0,25.93,13681.06028,48.379,980.49,1.1800000000
22,0,25.9,13885.87546,48.594,980.5,0.9800000001
22,0,25.88,14078.3106,48.717,980.51,1.3299999999
23,0,28.6,39312.03931,42.222,980.49,1.4400000000
23,0,28.56,10716.67783,38.145,980.49,1.8499999999
23,0,28.52,10174.88076,36.645,980.49,1.4400000000
23,0,28.45,11177.08697,37.912,980.51,1.4400000000
23,0,28.39,11539.84854,39.075,980.52,1.9800000000
23,0,28.32,13949.4333,39.43,980.5,2.0500000000
23,0,28.24,15602.14529,39.077,980.48,1.4400000000
23,0,28.16,18166.33551,38.57,980.49,1.3999999999
23,0,28.09,16145.30777,37.658,980.5,2.4200000008
23,0,28.01,16753.9267,38.409,980.5,1.4400000000
23,0,27.93,18513.1617,37.763,980.48,1.4400000000
23,0,27.86,19248.1203,37.423,980.49,1.4400000000
23,0,27.77,21917.80822,36.303,980.48,1.4400000000
23,0,27.7,24169.18429,35.137,980.48,1.4400000000
23,0,27.63,25697.65107,34.13,980.46,1.4400000000
24,0,26.62,61156.23507,33.365,980.41,1.4400000000
24,0,26.62,17495.8994,33.283,980.44,1.4400000000
24,0,26.61,19076.00596,33.941,980.42,1.1700000001
24,0,26.59,20486.5557,34.386,980.44,1.1700000001
24,0,26.57,21694.91525,34.55,980.44,0.6899999999
24,0,26.55,23659.88909,34.566,980.39,1.1500000001
24,0,26.52,26397.1953,34.033,980.42,1.4500000001
24,0,26.49,24558.71067,33.536,980.42,1.1100000000
24,0,26.46,25822.0698,33.266,980.44,1.1800000000
24,0,26.42,27844.24625,32.869,980.44,1.2900000001
24,0,26.39,31250,32.131,980.44,1.3200000000
24,0,26.36,30490.70986,31.539,980.43,1.2099999999
24,0,26.32,29520.2952,31.375,980.43,1.2300000000
24,0,26.29,33429.09376,31.121,980.45,1.1100000000
24,0,26.26,36394.65454,30.457,980.42,1.1500000001
25,0,27.79,47372.3168,30.791,980.44,1.3200000000
25,0,27.77,15545.29998,29.671,980.44,1.4900000000
25,0,27.75,18244.01368,29.099,980.46,1.4400000000
25,0,27.72,20585.39723,28.847,980.46,1.3999999999
25,0,27.69,15647.92176,29.744,980.48,1.4400000000
25,0,27.64,16330.69661,31.703,980.43,1.3900000000
25,0,27.6,16980.63147,32.959,980.45,1.3499999999
25,0,27.55,16072.32546,34.03,980.47,1.3900000000
25,0,27.5,15126.44765,35.222,980.45,1.3600000001
25,0,27.45,17116.87617,35.759,980.47,1.5000000001
25,0,27.4,20525.97819,35.013,980.47,1.2300000000
25,0,27.35,23516.44314,33.78,980.46,1.2099999999
25,0,27.3,25063.63814,32.921,980.44,1.1000000001
25,0,27.25,27450.1394,32.248,980.46,1.0699999999
25,0,27.2,27101.41859,31.722,980.43,1.1000000001
26,0,26.76,82421.12041,31.852,980.44,1.4400000000
26,0,26.74,21220.15915,33.41,980.43,1.4600000000
26,0,26.73,22638.83976,33.613,980.45,1.5100000000
26,0,26.71,21985.57197,33.653,980.46,1.3499999999
26,0,26.7,20408.16327,33.914,980.46,1.4300000001
